id_usuario,session_id,switches,minutes,switches_per_min,model,model_key
1,28,130,19.546640716666666,6.65075917055937,pred_label,svm_offline
2,3,131,22.586464266666667,5.799933909679309,pred_label,svm_offline
3,21,98,24.848838066666666,3.9438463777290877,pred_label,svm_offline
4,1,193,24.027683833333334,8.032401347492899,pred_label,svm_offline
7,47,149,22.22576796666667,6.703930330932291,pred_label,svm_offline
8,40,64,21.496056783333334,2.9772902372318586,pred_label,svm_offline
10,61,109,23.434424349999997,4.651277043210153,pred_label,svm_offline
1,28,53,19.546640716666666,2.7114633541511277,actividad,ht_online
2,3,97,22.586464266666667,4.29460755144193,actividad,ht_online
3,21,113,24.848838066666666,4.547496333503949,actividad,ht_online
4,1,167,21.29298276666667,7.842959430814548,actividad,ht_online
7,47,64,22.22576796666667,2.8795405448299776,actividad,ht_online
8,40,33,21.496056783333334,1.535165278572677,actividad,ht_online
10,61,37,23.434424349999997,1.5788738587043638,actividad,ht_online
1,28,29,19.546640716666666,1.4836308918940133,actividad_b,arf_online
2,3,79,22.586464266666667,3.497670067669201,actividad_b,arf_online
3,21,23,24.848838066666666,0.925596598854786,actividad_b,arf_online
4,1,70,21.29298276666667,3.2874680248923256,actividad_b,arf_online
7,47,69,22.22576796666667,3.1045046498948192,actividad_b,arf_online
8,40,46,21.496056783333334,2.1399273580103984,actividad_b,arf_online
10,61,19,23.434424349999997,0.8107730625779166,actividad_b,arf_online
