timestamp,ax,ay,az,gx,gy,gz,accel_freq,gyro_freq
2025-05-20T17:18:44.277266,0.3038884699344635,6.135795593261719,8.093722343444824,-0.11133010685443878,-0.1285870373249054,-0.02626718580722809,48.53,48.53
2025-05-20T17:18:44.299781,0.3038884699344635,6.135795593261719,8.093722343444824,-0.11133010685443878,-0.1285870373249054,-0.02626718580722809,44.40,44.40
2025-05-20T17:18:44.316571,0.3038884699344635,6.135795593261719,8.093722343444824,-0.11133010685443878,-0.1285870373249054,-0.02626718580722809,59.57,59.57
2025-05-20T17:18:44.339231,0.3038884699344635,6.135795593261719,8.093722343444824,-0.11133010685443878,-0.1285870373249054,-0.02626718580722809,44.13,44.13
2025-05-20T17:18:44.358483,0.6963114142417908,6.217151641845703,4.949553489685059,-0.11133010685443878,-0.1285870373249054,-0.02626718580722809,51.93,51.93
2025-05-20T17:18:44.376655,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,55.07,55.07
2025-05-20T17:18:44.397426,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,48.12,48.12
2025-05-20T17:18:44.416701,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,51.88,51.88
2025-05-20T17:18:44.438928,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,44.99,44.99
2025-05-20T17:18:44.456584,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,56.65,56.65
2025-05-20T17:18:44.476537,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,50.15,50.15
2025-05-20T17:18:44.496887,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,49.10,49.10
2025-05-20T17:18:44.516561,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,50.84,50.84
2025-05-20T17:18:44.538309,0.6963114142417908,6.217151641845703,4.949553489685059,0.3090975880622864,0.23823726177215576,-0.013744457624852657,45.97,45.97
2025-05-20T17:18:44.558805,4.204189300537109,4.188037872314453,7.141379356384277,0.3090975880622864,0.23823726177215576,-0.013744457624852657,48.79,48.79
2025-05-20T17:18:44.576768,4.204189300537109,4.188037872314453,7.141379356384277,0.3090975880622864,0.23823726177215576,-0.013744457624852657,55.68,55.68
2025-05-20T17:18:44.603045,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,38.06,38.06
2025-05-20T17:18:44.616902,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,72.13,72.13
2025-05-20T17:18:44.638012,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,47.39,47.39
2025-05-20T17:18:44.656629,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,53.70,53.70
2025-05-20T17:18:44.676852,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,49.45,49.45
2025-05-20T17:18:44.696976,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,49.69,49.69
2025-05-20T17:18:44.716771,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,50.53,50.53
2025-05-20T17:18:44.736645,4.204189300537109,4.188037872314453,7.141379356384277,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,50.32,50.32
2025-05-20T17:18:44.756495,6.821937561035156,6.485147476196289,9.79262638092041,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,50.36,50.36
2025-05-20T17:18:44.776606,6.821937561035156,6.485147476196289,9.79262638092041,-1.2344050407409668,-0.8872811198234558,-0.11728604137897491,49.73,49.73
2025-05-20T17:18:44.797951,6.821937561035156,6.485147476196289,9.79262638092041,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,46.85,46.85
2025-05-20T17:18:44.816657,6.821937561035156,6.485147476196289,9.79262638092041,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,53.46,53.46
2025-05-20T17:18:44.837937,6.821937561035156,6.485147476196289,9.79262638092041,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,46.99,46.99
2025-05-20T17:18:44.856605,6.821937561035156,6.485147476196289,9.79262638092041,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,53.56,53.56
2025-05-20T17:18:44.876698,4.113262176513672,0.1585244983434677,8.01236629486084,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,49.77,49.77
2025-05-20T17:18:44.896632,4.113262176513672,0.1585244983434677,8.01236629486084,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,50.17,50.17
2025-05-20T17:18:44.916744,4.113262176513672,0.1585244983434677,8.01236629486084,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,49.71,49.71
2025-05-20T17:18:44.940521,4.113262176513672,0.1585244983434677,8.01236629486084,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,42.08,42.08
2025-05-20T17:18:44.956561,2.9838497638702393,0.08673982322216034,3.284149169921875,-1.2877029180526733,-0.7866411209106445,1.2209659814834595,62.31,62.31
