start_index,end_index,n_muestras,etiqueta,ax_mean,ax_std,ax_min,ax_max,ax_range,ay_mean,ay_std,ay_min,ay_max,ay_range,az_mean,az_std,az_min,az_max,az_range,gx_mean,gx_std,gx_min,gx_max,gx_range,gy_mean,gy_std,gy_min,gy_max,gy_range,gz_mean,gz_std,gz_min,gz_max,gz_range,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,roll_mean,roll_std,roll_min,roll_max,roll_range,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_range
0,39,40,caerse,5.950591027736664,4.33510574775434,1.098305583000183,13.31605815887451,12.217752575874327,-4.38006184399128,4.167160873734183,-8.70927619934082,3.135195970535278,11.844472169876099,3.6120854845270514,3.36098578019887,-1.061216831207275,9.04128074645996,10.102497577667235,-0.46590655352920296,0.5483606717255456,-1.534186840057373,0.394160509109497,1.9283473491668701,-0.32605672082863746,2.03191878251372,-5.736783981323242,2.467741012573242,8.204524993896484,0.8194407548755407,1.0605219833462391,-0.2637408673763275,3.412443399429321,3.6761842668056484,-35.414691481790136,19.54218613259252,-61.23348827509081,-6.547312824318998,54.686175450771806,-49.40282202256377,41.39801533882914,-96.94718800361527,19.12473461219507,116.07192261581034,10.143854979384471,3.360719569263016,6.021729201893972,17.164980654748355,11.143251452854383
20,59,40,caerse,3.1820951879024504,2.3701089651749783,-0.9978070259094238,8.9850492477417,9.982856273651123,-8.488059759140015,1.8371267439450123,-10.7958173751831,-4.167698860168457,6.628118515014643,0.4851448057219387,0.9788506659694651,-1.061216831207275,2.604587554931641,3.665804386138916,-0.1787695683538914,0.5105862615403494,-1.177594542503357,0.394160509109497,1.571755051612854,0.2688797682989389,0.6731734760926087,-0.4318813979625702,2.467741012573242,2.8996224105358124,0.44694304596632717,0.6065211842752631,-0.2637408673763275,1.720500707626343,1.9842415750026705,-20.733284905697182,15.132353341817497,-49.42497326361704,6.996326233332608,56.42129949694965,-86.36037968342733,7.490213505195036,-97.12553898633733,-70.21403210255569,26.91150688378164,9.461110869713558,1.6321983490391125,6.021729201893972,11.82936140768907,5.807632205795098
40,79,40,caerse,0.20386848747730263,1.9221289423778807,-3.098705291748047,2.782852649688721,5.881557941436768,-9.165467929840087,1.3086188673317682,-10.7958173751831,-6.665805816650391,4.1300115585327095,-1.4108082599937917,2.070350779583064,-5.617151260375977,0.867398202419281,6.484549462795258,-0.09667698331177235,0.3551083398969921,-0.7910698652267456,0.394160509109497,1.1852303743362427,0.31903176829218866,0.5274963412116502,-1.113148331642151,0.9821178317070008,2.095266163349152,0.47836057879030697,0.44097774034801335,-0.1085812151432037,1.278081893920898,1.3866631090641017,-0.6587929721160786,11.323228366451504,-15.770581653016945,24.759572027165188,40.53015368018213,-99.52123742755899,13.790885602291883,-129.32286973526567,-85.05739259495009,44.26547714031558,9.720464162482816,1.0134486049541458,7.398807501268255,10.835012156322923,3.4362046550546683
60,99,40,caerse,-0.29898314662277703,3.5590005842132806,-5.022534847259521,8.252845764160156,13.275380611419678,-6.979385191202164,2.1517456996157756,-10.28375339508057,-2.655434846878052,7.628318548202518,1.67090802192688,5.487523179017536,-5.617151260375977,10.11326503753662,15.730416297912596,0.17951789274811744,0.6720405800001515,-0.4943423271179199,1.870773434638977,2.365115761756897,-0.9685680836439132,1.6647448919653771,-3.525453329086304,0.9821178317070008,4.507571160793305,-0.07058924064040192,0.8452493234440265,-1.778074622154236,1.025183796882629,2.8032584190368652,1.643323430845945,22.983642509913494,-55.06376390677157,28.049329772278902,83.11309367905048,-76.74402306743518,38.37227833250392,-129.32286973526567,-27.426536664144518,101.89633307112115,9.775998478357792,1.5181521016531299,7.398807501268255,13.142653896162209,5.7438463948939535
80,119,40,caerse,3.8061434131115677,4.566746880509914,-5.022534847259521,8.252845764160156,13.275380611419678,-4.402674072980881,1.8009521930599275,-8.393424034118652,-2.641077995300293,5.752346038818359,6.240122462809086,2.5978045970065913,-0.8410771489143372,10.11326503753662,10.954342186450956,0.32403322933241724,0.6063000135810493,-0.127365306019783,1.870773434638977,1.99813874065876,-1.0184680994600057,1.5832978000886726,-3.525453329086304,1.026252865791321,4.551706194877625,-0.4160905424505472,0.5670239260409179,-1.778074622154236,0.233961209654808,2.012035831809044,-24.940703744993158,29.738824667956163,-55.06376390677157,28.049329772278902,83.11309367905048,-36.114664300804215,18.580721471703185,-97.19145514499272,-17.785568916151654,79.40588622884107,10.06565522583173,1.2681481072041856,7.398807501268255,13.142653896162209,5.7438463948939535
100,139,40,caerse,4.551866579055786,2.5406771344564194,-0.6580262184143066,8.252845764160156,8.910871982574463,-4.331367927789688,1.5294339050786396,-7.106084823608398,-2.641077995300293,4.4650068283081055,6.794419860839843,1.291052615371365,4.949553489685059,8.725427627563477,3.775874137878418,-0.3171533541753888,0.6185600396776402,-1.729358196258545,0.4589121639728546,2.1882703602313995,0.5225413714535534,0.49758369277577025,-0.8697187304496765,1.099098443984985,1.9688171744346614,-0.09080123463645576,0.1927138927727461,-0.5713112950325012,0.1609628647565841,0.7322741597890854,-29.01026982483581,17.372286566976125,-55.06376390677157,4.124989246178729,59.1887531529503,-32.27904651760552,9.3488446451144,-47.57112664722125,-17.785568916151654,29.785557731069595,9.786815241025007,0.2524256871736473,9.14783345313273,10.095679703647617,0.9478462505148872
120,159,40,caerse,1.2336197312921287,1.4417691568283413,-0.6580262184143066,3.529413461685181,4.187439680099487,-7.098667281866073,2.3797216581803378,-11.81037425994873,-2.799004316329956,9.011369943618774,4.732524666376412,3.45304509515933,-1.180858016014099,8.725427627563477,9.906285643577576,-0.798976778332144,0.5084092106229382,-1.729358196258545,-0.0482583157718181,1.6810998804867268,0.46689158575609324,0.42352377225350624,-0.2252563834190368,1.099098443984985,1.3243548274040218,-0.13476441064849495,0.18446445367051623,-0.4051560759544372,0.1609628647565841,0.5661189407110213,-7.350330896463736,8.622516867483569,-21.064942007512016,4.124989246178729,25.189931253690744,-57.346880194053334,26.245023353076725,-99.0768553204418,-17.785568916151654,81.29128640429013,9.58094921522815,1.3160773988685959,7.116091267488516,12.554800216299867,5.438708948811351
140,179,40,caerse,2.56666117683053,2.9740794796496086,-0.6580262184143066,6.625725746154785,7.283751964569092,-8.782137668132782,3.0790433845135405,-16.50987815856934,-5.991029739379883,10.518848419189457,2.5503900112584232,2.5206634639237198,-1.180858016014099,6.380461692810059,7.561319708824158,-0.11074598208069797,0.8569840003227389,-1.180190801620483,0.9980003237724304,2.1781911253929134,0.25890740007162094,0.27859179395648775,-0.2252563834190368,0.7486147880554199,0.9738711714744568,-0.43233955884352326,0.4356852632526837,-1.352301955223083,0.0661261156201362,1.4184280708432193,-14.007501643071402,16.858599020205645,-42.05348959141631,4.124989246178729,46.17847883759504,-73.70229788985883,18.298030861633606,-99.0768553204418,-45.62953983894934,53.44731548149245,10.295270419368713,2.915564598231588,7.116091267488516,17.846233995079405,10.73014272759089
160,199,40,caerse,5.126622460409999,1.6527942044135786,-0.2273181527853012,6.625725746154785,6.853043898940086,-7.786364567279816,3.0324375740162486,-16.50987815856934,-5.991029739379883,10.518848419189457,3.95509657561779,1.8068818718317299,-1.180858016014099,5.361119270324707,6.541977286338806,0.19800417330116032,0.5839723668501485,-1.015868186950684,0.9980003237724304,2.0138685107231145,0.12918644761666653,0.22792140955594078,-0.2252563834190368,0.5291616320610046,0.7544180154800415,-0.26627596747130144,0.5657452176591833,-1.352301955223083,0.6858484148979187,2.0381503701210018,-29.669301238592777,10.609229256685731,-42.05348959141631,1.7152705755716322,43.76876016698794,-61.50136348481036,14.922258812982884,-98.94938813256941,-48.17598356764412,50.77340456492529,10.537283401319566,2.548121717412866,7.594321633344498,17.846233995079405,10.251912361734908
180,219,40,caerse,3.295873890817165,2.19488820338658,0.2799602448940277,5.754738330841064,5.474778085947036,-8.07422115802765,1.5386698660791387,-11.79123210906982,-5.991029739379883,5.800202369689938,2.012124611437321,3.0812057607125753,-2.008774518966675,5.361119270324707,7.369893789291382,-0.41131053362041714,0.42652818497106126,-1.293811559677124,0.1893680840730667,1.4831796437501907,0.0630603341385722,0.1460228715435125,-0.0786488428711891,0.4338667094707489,0.512515552341938,0.26784893302246926,0.32364377888306467,-0.1178968995809555,0.984561324119568,1.1024582237005234,-19.986833329764828,13.519347944028318,-35.89359110050227,-1.6871484195929782,34.20644268090929,-74.47084650170595,21.983899372963293,-101.39554357075743,-48.17598356764412,53.21956000311331,9.79858947332078,0.6025741508873629,8.645028693365045,11.98424447048288,3.3392157771178343
