start_index,end_index,n_muestras,etiqueta,ax_mean,ax_std,ax_min,ax_max,ax_range,ay_mean,ay_std,ay_min,ay_max,ay_range,az_mean,az_std,az_min,az_max,az_range,gx_mean,gx_std,gx_min,gx_max,gx_range,gy_mean,gy_std,gy_min,gy_max,gy_range,gz_mean,gz_std,gz_min,gz_max,gz_range,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,roll_mean,roll_std,roll_min,roll_max,roll_range,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_range
0,99,100,caerse,7.510830979347229,3.844253146642269,0.7010970115661621,15.21117401123047,14.510076999664308,0.5979903364181518,3.0140459610487604,-5.67039155960083,4.719244480133057,10.389636039733887,5.503013565987349,4.667429845406584,-0.6017948985099792,14.85105419158936,15.45284909009934,-0.24587611529044795,1.2464594797701878,-3.627620458602905,0.9495893120765686,4.577209770679474,-0.7750667640753091,1.360397877315841,-4.034303665161133,1.123838424682617,5.15814208984375,0.2925874428916722,1.1629895203326712,-1.749516725540161,2.479347467422485,4.228864192962646,-48.81044127364681,25.083448835421596,-84.0104608169373,-4.052711163833973,79.95774965310332,-4.601855015854177,47.39173499112676,-100.46397807792552,53.40773181610761,153.87170989403313,11.023462725542537,3.2918298608776926,7.480938746781985,20.52854277358791,13.047604026805924
50,149,100,caerse,7.311317396163941,2.464086055352057,3.87876558303833,11.00459098815918,7.12582540512085,-3.736225056648254,4.821923338044028,-11.76251792907715,4.719244480133057,16.481762409210205,0.9572726386040449,1.571927367349372,-0.9990034699440002,3.911068677902222,4.910072147846222,-0.16135686919093126,1.2022932744376456,-3.627620458602905,0.7021890878677368,4.329809546470642,0.041428850516676906,0.6209552268915995,-0.8570432662963867,1.123838424682617,1.9808816909790037,0.46893799185752855,1.0057756690340194,-0.743880569934845,2.462395906448364,3.206276476383209,-54.1876246235453,18.836876648995627,-84.0104608169373,-27.370578794140474,56.639882022796826,-40.22438873447039,65.67142343457493,-100.46397807792552,69.36963753268869,169.8336156106142,9.689099678825809,2.447043623427069,4.182734336914926,13.245927741913167,9.063193404998241
100,199,100,caerse,3.5063465523719786,2.810570251422649,-3.270988464355469,7.29093074798584,10.561919212341309,-7.982001769542694,3.4247380297704124,-11.76251792907715,1.46500563621521,13.22752356529236,-0.17357535474002364,1.6330037390072418,-3.157329559326172,2.413161754608154,5.570491313934326,-0.2690645534545183,0.5983418372987703,-1.076496481895447,0.6438514590263367,1.7203479409217837,-0.06974548257887364,0.5813666849844997,-0.8910989761352539,0.8723149299621582,1.763413906097412,0.4649658390134572,0.825269960908497,-0.4766272306442261,2.462395906448364,2.93902313709259,-24.735917817844776,22.13177786280615,-68.02201775673062,19.614819917928088,87.63683767465871,-77.52808306227473,47.46240725507642,-110.1202929736764,69.36963753268869,179.48993050636508,9.635691307670083,2.3055244094411673,4.182734336914926,13.245927741913167,9.063193404998241
150,249,100,caerse,3.5093614864349365,4.899904202037241,-3.270988464355469,12.51206970214844,15.783058166503908,-8.068956880569457,1.8552424187587544,-10.68574810028076,-4.406980991363525,6.2787671089172346,-0.031776673793792724,2.7036383513352993,-3.157329559326172,5.150550842285156,8.307880401611328,-0.2391382899135351,0.6550685422142486,-1.076496481895447,1.59832763671875,2.6748241186141968,0.7488789796829224,1.5896821482393346,-0.8910989761352539,3.66396689414978,4.555065870285034,0.08578221466392279,0.5116979319626139,-0.7893900275230408,1.058170557022095,1.8475605845451357,-18.566591715049782,25.58660595722245,-55.24746590540175,19.614819917928088,74.86228582332984,-89.4926311234928,21.927120226562117,-119.00711274754042,-40.55138607034865,78.45572667719176,10.324484996508737,2.301238575943733,5.994094797289329,15.228503931473535,9.234409134184205
200,299,100,caerse,5.205824935436249,4.165254583488219,-3.270988464355469,12.51206970214844,15.783058166503908,-4.351467579603195,2.820043299784696,-8.618349075317383,-0.8703892230987549,7.747959852218628,4.340341079235077,4.524013347252702,-3.157329559326172,8.787641525268555,11.944971084594727,0.10548259923234583,0.8185568264378832,-1.191644430160522,1.59832763671875,2.789972066879272,0.9980751547217369,1.5112780936011125,-1.172096848487854,3.66396689414978,4.836063742637634,-0.1658482651785016,0.3926616234416904,-0.7893900275230408,0.41218101978302,1.2015710473060608,-29.456960584972272,21.44906006439538,-55.24746590540175,19.614819917928088,74.86228582332984,-49.37805887783089,41.631342379342954,-119.00711274754042,-5.81702339620433,113.19008935133608,10.270312954444416,2.1802871911246613,5.994094797289329,15.228503931473535,9.234409134184205
250,349,100,caerse,5.896297948360443,2.2760516190704805,1.56251323223114,9.492327690124512,7.929814457893372,-3.601269863843918,2.0916762717501003,-7.015157699584961,-0.8703892230987549,6.144768476486206,4.9882695814967155,3.6418926959527673,-1.396211981773376,8.787641525268555,10.183853507041931,0.08037452960386875,0.7724341988857566,-1.191644430160522,1.59832763671875,2.789972066879272,-0.6837256881594658,1.0633733426085803,-2.262795925140381,1.751043915748596,4.013839840888977,0.10162193402647972,0.3683836056724693,-0.6450732350349426,0.6029235124588013,1.247996747493744,-38.18348181611974,13.943573021210284,-56.62264040058515,-14.169453451131792,42.453186949453354,-43.09719535565065,34.64523499370987,-103.03820167211786,-5.81702339620433,97.22117827591353,9.613878677107168,1.6764435374322249,6.38306312091694,12.208174157067585,5.825111036150645
300,399,100,caerse,3.8600058484077455,3.879223668009578,-1.816152334213257,9.492327690124512,11.308480024337769,-7.525977592468262,2.605955185717718,-11.91565895080566,-3.272783279418945,8.642875671386715,0.069104698896408,2.4597053949475454,-3.434896945953369,4.542773723602295,7.977670669555664,0.2556866118311882,0.5271229348916514,-1.191644430160522,1.07390022277832,2.265544652938842,-0.9490670251473784,0.8134252594032056,-2.262795925140381,1.39781129360199,3.6606072187423706,0.3592617942392826,0.21532952269904398,-0.1269071549177169,0.66645348072052,0.7933606356382369,-25.001238354268118,25.30727704936888,-56.62264040058515,12.002759817497251,68.6254002180824,-85.73811156918092,21.489146315043815,-106.08055106306172,-35.77038208745893,70.31016897560279,9.75508711871591,2.0084841942166993,6.38306312091694,13.128328424971022,6.745265304054081
350,449,100,caerse,2.747247543334961,2.541962687756794,-1.816152334213257,5.391029357910156,7.207181692123413,-8.07187620639801,2.1764242790011483,-11.91565895080566,-4.780261516571045,7.135397434234616,0.6298866257071495,3.051100496294714,-3.434896945953369,6.581458568572998,10.016355514526367,0.5723298868548591,0.40011883500803547,0.0010690133785828,1.091615319252014,1.090546305873431,0.22631165686994786,0.9310466612481058,-1.983630657196045,1.560454130172729,3.544084787368774,-0.15566362239420417,0.6513307791172794,-1.350316643714905,0.66645348072052,2.016770124435425,-17.9930401516663,17.896550796052516,-45.52884069329184,12.002759817497251,57.53160051078909,-82.81101527502791,21.711283158440825,-106.08055106306172,-37.64678204745988,68.43376901560184,9.539014427046906,1.5599308947419341,6.884029231093583,13.128328424971022,6.244299193877438
400,499,100,caerse,4.371974095106125,2.02951514253758,0.9882357716560364,8.248059272766113,7.259823501110077,-7.034826865196228,2.208866656811079,-12.26501083374023,-4.780261516571045,7.484749317169186,2.6441648095846175,3.411746334428345,-2.707478761672974,6.80159854888916,9.509077310562134,-0.1010706438112539,0.9493397747525871,-1.669798851013184,1.091615319252014,2.7614141702651978,0.0610620391368866,0.9991027946843507,-1.297476768493652,1.560454130172729,2.857930898666381,-0.11806795075535774,0.7199183284761319,-1.350316643714905,0.9888373613357544,2.339154005050659,-27.55163036476152,11.148991594245414,-45.52884069329184,-6.293530427444371,39.23531026584747,-70.80672541518962,25.35834275003753,-108.97588475683224,-36.40102150971139,72.57486324712085,9.509290903217986,2.3782679536818128,6.697957338247684,15.693513376097394,8.99555603784971
450,549,100,caerse,3.7168671321868896,4.709960286256868,-2.323430776596069,12.66521072387695,14.988641500473019,-7.597762279510498,2.3450504769312523,-12.26501083374023,-5.014758110046387,7.250252723693844,0.48942802608013153,3.9131982736267483,-3.678964853286743,6.80159854888916,10.480563402175903,-0.6255255399644375,0.6226824479476325,-1.669798851013184,0.5048797130584717,2.1746785640716557,0.2148961147665979,1.7279649238017842,-1.297476768493652,3.618457555770874,4.915934324264526,0.24700928347185255,0.3990843810051145,-0.2261726856231689,0.9888373613357544,1.2150100469589233,-20.1203011968942,24.521956934610124,-58.16407065033672,11.527458924165872,69.6915295745026,-87.3522248663632,27.807547698717247,-120.99090578104443,-36.40102150971139,84.58988427133303,10.27677518982062,2.9703368015353417,6.697957338247684,15.693513376097394,8.99555603784971
